Ashtavakra|అష్టావక్రుడు
Hemachandra|హేమచంద్ర
Yuvraj Singh|యువరాజ్ సింగ్
Parthiv Patel|పార్థివ్ పటేల్
Ichharam Desai|ఇచ్చారం దేశాయ్
Krishnalal Shridharani|కృష్ణలాల్ శ్రీధరణి
Prem Nazir|ప్రేం నజీర్
Sambhaji Bhosale|శంభాజీ
Vikram Bhatt|విక్రమ్ భట్
Chinu Modi|చిను మోది
Joaquim Augusto Mouzinho de Albuquerque|జోక్విమ్ అగస్టో మౌజిన్హో డి అల్బుకెర్క్యూ
Garimella Balakrishna Prasad|గరిమెళ్ళ బాలకృష్ణ ప్రసాద్
Joseph Macwan|జొసెఫ్ మక్కువన్
Dolarrai Mankad|డోల్లరై  మాన్కద్
Tribhuvandas Kishibhai Patel|త్రిభువన్‌దాస్ పటేల్
Dhirendra Mehta|ధీరేంద్ర మెహ్తా
Pravin Darji|ప్రవీణ్ దర్జీ
Manilal H. Patel|మణిలాల్ పటేల్
Raman Soni|రామన్ సోని
Rajendra Shukla|రాజేంద్ర శుక్ల
Jhinabhai Desai|ఝినాభాయ్ దేశాయ్
M. Balamuralikrishna|మంగళంపల్లి బాలమురళీకృష్ణ
Komal Kothari|కోమల్ కొఠారీ
Ashok Dinda|అశోక్ డిండ
Debendranath Tagore|దేవేంద్రనాథ్ ఠాగూర్
Jeremy Affeldt|జెరెమీ అఫల్డ్ట్
Rohan Kanhai|రోహన్ కన్హాయ్
Elizabeth Irving|ఎలిజబెత్ ఇర్వింగ్
Syed Shah Mardan Shah-II|రెండవ పగారో
S. H. Raza|ఎస్.హెచ్. రాజా
Gulabo Sapera|గులాబో సపేరా
Paresh Rawal|పరేష్ రావల్
Sadhana Shivdasani|సాధన
Ian Bishop|ఇయాన్ బిషప్
James R. Jordan, Sr.|జేమ్స్ ర్ జోర్డాన్ ,సర్
Rafi ud-Darajat|రఫి ఉద్ - దరజత్
Murlidhar Ramachandra Acharekar|ఎం.ఆర్. అచరేకర్
Kundakunda|కుందకుందాచార్యుడు
Mansoor Khan|మన్సూర్ ఖాన్
María Gabriela Isler|మారియా గాబ్రియెలా ఇస్లర్
Narayana Kocherlakota|నారాయణ కొచ్చెర్లకోట
Nolini Kanta Gupta|నొలిని కాంతా గుప్తా
Ashok Chavan|అశోక్ చవ్హాణ్
Shakti Chattopadhyay|శక్తి చటోపాధ్యాయ్
Kamini Roy|కామిని రాయ్
Rani Rashmoni|రాణి రష్మోని
Uday Shankar|యుడే శంకర్
Akshay Kumar Datta|అక్షయ్ కుమార్ దత్తా
Radhika Jha|రాధికా ఝా
Nagarjun|నాగార్జున్
Sameer|సమీర్
Saroj Khan|సరోజ్ ఖాన్
Shivshankar Menon|శివ శంకర్ మీనన్
Upen Patel|ఉపేన్ పటేల్
Neha Dhupia|నేహా ధూపియా
Antonio Johnson|ఆంటోనియో జాన్సన్
Soundarya|సౌందర్య
Nitin Gadkari|నితిన్ గడ్కరి
Jaya Prada|జయప్రద
Arun Shourie|అరుణ్ శౌరీ
Kevin O'Brien|కెవిన్ ఓ'బ్రియన్
Rambha|రంభ
N. D. Tiwari|నారాయణదత్ తివారీ
Kepler Wessels|కెప్లర్ వెస్సెల్స్
S. Sreesanth|శ్రీశాంత్
Nana Joshi|నానా జోషి
Balu Mahendra|బాలు మహేంద్ర
Lakshmi Rai|లక్ష్మీ రాయ్
Sucheta Kripalani|సుచేతా కృపలానీ
B. Saroja Devi|బి. సరోజా దేవి
Ajit Wadekar|అజిత్ వాడేకర్
Narendra Hirwani|నరేంద్ర హిర్వాణి
Karthik|కార్తిక్
Goundamani|గౌండమణి
Eoin Morgan|ఇఒన్ మోర్గాన్
Mirabehn|మీరాబెన్
Shiv Nadar|శివ నాడార్
Rudrama Devi|రుద్రమ దేవి
Emilie Schenkl|ఎమిలియే స్చెఙ్కళ్
Saritha|సరిత
Kakkanadan|కక్కానాదన్
Ajit Pai|అజిత్ పై
Shadkala Govinda Marar|షట్కాల గోవింద మరార్
Sukumari|సుకుమారి
T. S. Avinashilingam Chettiar|టి. ఎస్. అవినాష్లింగం చెట్టియార్
Nadhiya|నదియా
Chempakaraman Pillai|చెంపకారమ్ పిళ్ళై
Dale Steyn|డేల్ స్టెయిన్
Ramakrishna Ranga Rao of Bobbili|రాజా శ్వేతా చలపతి రామకృష్ణ రంగారావు
Sudhir Naik|సుధీర్ నాయక్
Tripuraneni Gopichand|త్రిపురనేని గోపీచంద్
C. Rangarajan|సి.రంగరాజన్
Ottis Gibson|ఓటిస్ గిబ్సన్
T. T. Krishnamachari|టి.టి.కృష్ణమాచారి
K. V. Anand|కె.వి.ఆనంద్‌
Surjit Singh Barnala|సూర్జీత్ సింగ్ బర్నాలా
Azhar Mahmood|అజర్ మహమూద్
Sadayavarman Sundara Pandyan I|మొదటి జాతకవర్మను సుదరపాండ్యను
Rajendra Chola II|రెండవ రాజేద్రచోళుడు
Sekhar Kammula|శేఖర్ కమ్ముల
M. R. Radha|ఎం.ఆర్ .రాధా
G. N. Balasubramaniam|జి.ఎన్.బాలసుబ్రమణియం
Rakhi Sawant|రాఖీ సావంత్
P. Padmarajan|పద్మరాజన్
Jiah Khan|జియా ఖాన్
