Jean Tirole|ழோன் திரோல்
Teresa of Ávila|அவிலாவின் புனித தெரேசா
Harold Urey|அரால்டு இயூரீ
Frank Gehry|பிராங்க் கெரி
Alexis Sánchez|அலெக்சிசு சான்சேசு
Ursula K. Le Guin|அர்சலா கே. லா குவின்
Nicolas Carnot|சாடி கார்னோ
Wilt Chamberlain|வில்ட் சேம்பர்லென்
Benedict IV|நான்காம் பெனடிக்ட்
Shirley Temple|சிர்லி டெம்பிள்
Forest Whitaker|பொரஸ்ட் விடேகர்
Ramakrishna|ராமகிருஷ்ணர்
Judit Polgár|ஜூடிட் போல்கர்
Fred Hoyle|பிரெட் ஆயில்
Philip Johnson|பிலிப் ஜான்சன்
Walter Houser Brattain|வால்டர் ஹவுஸர் ப்ராட்டேன்
Dennis Bergkamp|டென்னிசு பெர்காம்ப்
Alexis Carrel|அலெக்சிஸ் காரெல்
Dante Gabriel Rossetti|டேன்டி கெய்பிரியல் ரோசட்டி
Anders Jonas Ångström|ஆங்ஸ்ட்ராம்
Frits Zernike|பிரிட்சு ஜெர்னிகி
Preity Zinta|பிரீத்தி சிந்தா
E. M. Forster|இ. எம். பிராஸ்டர்
Gloria Stuart|குளோரியா ஸ்டுவர்ட்
Narmer|நார்மெர்
Ayub Khan|அயூப் கான்
Clyde Tombaugh|கிளைட் டோம்பா
Famke Janssen|பாம்கே ஜான்சென்
Gary Becker|கேரி பெக்கர்
Manuel Zelaya|மனுவேல் செலாயா
John Edward Gray|ஜான் எட்வர்டு கிரே
Peter Ware Higgs|பீட்டர் ஹிக்ஸ்
Susan B. Anthony|சூசன் ப்ரவுன் அந்தோனி
Benedetto Croce|பெனிடெட்டோ குரோசே
Carlo Gesualdo|கார்லோ கேசுவால்தோ
Richard Branson|றிச்சர்ட் பிரான்சன்
Miguel de Noronha, 4th Count of Linhares|மிகேல் டி நோரொன்யா
Zhao Erfeng|சாவோ எர்பெங்
Indranee Nadisen|இந்திராணி நடேசன்
Anna Paquin|அண்ணா பகுய்ன்
Thomas Cranmer|தாமஸ் க்ரான்மர்
Karl Malone|கார்ல் மலோன்
Tom Welling|டாம் வெல்லிங்
Roger Y. Tsien|ரோஜர் ஒய். சியன்
Jim Caviezel|ஜிம் கவீசல்
Andimuthu Raja|ஆ. ராசா
Angus Deaton|ஆங்கசு டீட்டன்
Frances McDormand|பிரான்சசு மெக்டார்மன்டு
Gilles Duceppe|ஜில்ஸ் டுசப்
John L. Hall|ஜான் லீவிஸ் ஹால்
Thomas Wolsey|தாமஸ் வோல்சி
Lakshman Kadirgamar|லக்சுமன் கதிர்காமர்
Chandrika Kumaratunga|சந்திரிக்கா பண்டாரநாயக்க குமாரதுங்க
Amir Khosrow|அமீர் குஸ்ரோ
Tansu Çiller|தென்சு சில்லர்
Agnes of Rome|ரோமின் ஆக்னெஸ்
Yuan Shikai|யுவான் ஷிக்காய்
Jules Bordet|ஜூல்ஸ் போர்டெட்
Richard Axel|ரிச்சார்ட் ஆக்செல்
S. R. Nathan|செல்லப்பன் ராமநாதன்
Hariprasad Chaurasia|ஹரிபிரசாத் சௌரசியா
Albert John Mvumbi Luthuli|ஆல்பர்ட் லுத்துலி
Manu Ginóbili|மனு ஜினோபிலி
John Wesley|ஜான் வெஸ்லி
Blackbeard|பிளாக்பியர்ட்
Jonathan Rhys Meyers|ஜானத்தன் ரீஸ் மயர்ஸ்
Steve Biko|ஸ்டீவ் பைக்கோ
Ayaan Hirsi Ali|அயான் கேர்சி அலி
Heinrich von Stephan|ஈன்றிக் வொன் இசுட்டீபன்
Frederick Douglass|பிரெடரிக் டக்ளஸ்
Josh Hutcherson|ஜோஷ் ஹட்சர்சன்
John B. Watson|ஜான் பி வாட்சன்
Nikolai Andrianov|நிகோலாய் ஆண்ட்ரியோவ்
René Laennec|ரெனே லென்னக்
Frédéric Auguste Bartholdi|பிரடெரிக் ஆகஸ்ட் பார்த்தோல்டி
John Webster|ஜான் வெப்ஸ்டர்
Johann Bernoulli|யோகான் பெர்னூலி
Svetlana Alliluyeva|சுவெத்லானா அலிலுயேவா
Ruth Benedict|ரூத் பெனடிக்ட்
Katherine Moennig|கேத்ரின் மொயினிங்
Viola Davis|வியோல டேவிஸ்
Lily Collins|லில்லி காலின்ஸ்
Trish Stratus|டிரிஷ் சிரேடியஸ்
Elizabeth Gillies|எலிசபெத் கில்லீஸ்
Mary Blair|மேரி பிளேர்
Bhimrao Ramji Ambedkar|அம்பேத்கர்
Mumtaz Mahal|மும்தாசு மகால்
Kerry Washington|கெர்ரி வாஷிங்டன்
Stanley Cohen|ஸ்டான்லி கோஹன்
Robert Burns Woodward|ராபர்ட் பர்ன்ஸ் உட்வர்ட்
Madhuri Dixit|மாதுரி தீட்சித்
Enheduanna|என்ஹெடுவானா
Father Damien|தந்தை தமியான்
Atal Bihari Vajpayee|அடல் பிகாரி வாச்பாய்
Elizabeth Blackwell|எலிசபெத் பிளாக்வெல்
Priscilla Presley|பிரிஸ்சில்லா பிரெஸ்லி
Liu Yang|லியு யங்
Jill Stein|ஜில் ஸ்டைன்
Margaret Mary Alacoque|மார்கரெட் மரி அலக்கோக்
Rebecca West|ரெபெக்கா வெஸ்ட்
H. Rider Haggard|எச். ரைடர் அக்கார்டு
Lisa Marie Presley|லீசா மரி பிரெஸ்லி
Spencer Locke|ஸ்பென்சர் லோக்கே
Julie Payette|ஜூலி பெயெட்
Vince Carter|வின்ஸ் கார்டர்
Lola Flores|உலோலா புலோறேஸ்
Samak Sunthorawet|சமாக் சுந்தரவேஜ்
Lal Bahadur Shastri|லால் பகதூர் சாஸ்திரி
Imam Shamil|இமாம் ஷாமில்
Zygmunt Wróblewski|சிக்முந்த் வுரூபிளேவ்ஸ்கி
Jean-Baptiste Joseph Delambre|சான் பாப்திசுத்து யோசப் டெலாம்பர்
Fernando Sor|வேர்னாந்தோ சோர்
Hina Rabbani Khar|ஹினா ரப்பானி கார்
Bessie Coleman|பெசி கோல்மன்
Ronnie Coleman|ரோனி கோல்மன்
Jamaluddin Ahmed|ஜெமாலுத்தின் அகமது
John Morrison|ஜான் மாரிசன்
Arthur Wood|ஆர்த்தர் வுட்
George Westinghouse|ஜார்ஜ் வெஸ்டிங்ஹவுஸ்
Han Hye-jin|ஹான் ஹிய்-ஜின்
Alexander V|எதிர்-திருத்தந்தை ஐந்தாம் அலெக்சாண்டர்
Kasturba Gandhi|கஸ்தூரிபாய்
Tirumalai Krishnamacharya|திருமலை கிருஷ்ணமாச்சாரி
Nicole-Reine Lepaute|நிக்கோல்-ரெயின் லெப்பாட்
Margaret Geller|மார்கரெட் ஜே. ஜெல்லர்
Adam Hicks|ஆடம் ஹிக்ஸ்
