Charles Édouard Guillaume|শার্ল এদুয়ার গিয়্যোম
Juliana Berners|জুলিয়ানা বার্নস
Gloria Macapagal-Arroyo|গ্লোরিয়া মাকাপাগাল আরোইয়ো
Paul Jones|পল জোন্স
Gianni Infantino Riovaldi|জিয়ান্নি ইনফান্তিনো
Jo Jones|জো জোন্স
Steve Irwin|স্টিভ আরউইন
Nagasena|নাগসেন
Albert A. Michelson|আলবার্ট আব্রাহাম মাইকেলসন
Frank Zappa|ফ্র্যাঙ্ক জাপ্পা
Bahadur Shah Zafar|বাহাদুর শাহ জাফর
Douglas MacArthur|ডগলাস ম্যাকআর্থার
Luke the Evangelist|লুকাস
Edward Heath|এডওয়ার্ড হিথ
Maria Zankovetska|মারিয়া জাঙ্কোভেস্কা
François Rabelais|ফ্রাঁসোয়া রাবলে
Alexander Rybak|আলেকজান্ডার রিবাক
Zulfiqar Ali Bhutto|জুলফিকার আলী ভুট্টো
Xenophanes|ক্সেনোফানিজ
Humphry Davy|হামফ্রে ডেভি
George II of Great Britain|দ্বিতীয় জর্জ
Sania Mirza|সানিয়া মির্জা
Susan Sarandon|সুজান সার‍্যান্ডন
Sylvia Plath|সিলভিয়া প্ল্যাথ
Mohamed ElBaradei|মোহাম্মেদ এল বারাদেই
Nawaz Sharif|নওয়াজ শরীফ
Magic Johnson|ম্যাজিক জনসন
William Fox|উইলিয়াম ফক্স
Yukio Mishima|ইউকিও মিশিমা
Ted Kennedy|টেড কেণেডি
Camille Pissarro|কামিই পিসারো
Abdul Hamid II|দ্বিতীয় আব্দুল হামিদ
Danny Boyle|ড্যানি বয়েল
William Somerset Maugham|উইলিয়াম সমারসেট মম্‌
Elias James Corey|এলিয়াস জেমস কোরি
John Barwa|জন বারওয়া
Oona O'Neill|উনা ওনিল
Park Geun-hye|পার্ক গিউন-হাই
Peter Maxwell Davies|পিটার ম্যাক্সওয়েল ডেভিস
Zacharias melotocas|জাকারিয়া জ্যানসেন
William Amherst, 1st Earl Amherst|উইলিয়াম আমহার্স্ট
Mahasweta Devi|মহাশ্বেতা দেবী
Baby Halder|বেবি হালদার
Zane Grey|জেন গ্রে
Edgar Rice Burroughs|এডগার রাইস বারোজ
Ida Lupino|ইডা লুপিনো
Gong Li|গং লি
Juan Gris|হুয়ান গ্রিস
Richard Owen|রিচার্ড ওয়েন
Axel Witsel|আক্সেল ভিটসেল
Gunnar Myrdal|গুনার মিরদাল
Josiah Willard Gibbs|জোসিয়াহ উইলার্ড গিবস
Łukasz Piszczek|উকাশ পিশ্চেক
Amānullāh Khān|আমানউল্লাহ খান
Oriana Fallaci|ওরিয়ানা ফাল্লাচি
Martin Niemöller|মার্টিন নিম্যোলার
Émile Borel|এমিল বোরেল
Norman Borlaug|নরম্যান বোরলাউগ
Louis Néel|লুই ওজেন ফেলিক্স নেএল
Eugene Wigner|ইউজিন পল উইগনার
Dietmar Hamann|ডিয়েটমার হামান
Sir George Stokes, 1st Baronet|জর্জ গ্যাব্রিয়েল স্টোকস
Thomas Häßler|টোমাস হাসলার
Peter Simon Pallas|পিটার সিমোন পালাস
Russell Alan Hulse|রাসেল অ্যালান হাল্‌স
Charles Wheatstone|চার্লস হুইটস্টোন
Merton Miller|মার্টন মিলার
Charles Lucien Bonaparte|শার্ল লুসিয়াঁ বোনাপার্ত
Kirron Kher|কিরণ খের
Aruna Irani|অরুণা ইরানি
Manoj Bajpai|মনোজ বাজপেয়ী
Chulalongkorn|চুলালংকরন
Andreas Brehme|আনড্রেয়াস ব্রেহমা
John Napier|জন নেপিয়ার
Murad III|তৃতীয় মুরাদ
Mark Rothko|মার্ক রোথকো
Al-Farabi|আল ফারাবী
Hideki Tojo|হিদেকি তোজো
Augusta Victoria of Schleswig-Holstein|শ্লেসভিগ-হোলস্টাইনের অগাস্টা ভিক্টোরিয়া
Edward Gibbon|এডওয়ার্ড গিবন
Khufu|খুফু
Alberto Moravia|আলবার্তো মোরাভিয়া
Tony Curtis Liz|টনি কার্টিস
William Shockley|উইলিয়াম ব্র্যাডফোর্ড শকলি
Harry James|হ্যারি জেমস
Philip Kotler|ফিলিপ কোটলার
Ava Gardner|আভা গার্ডনার
Javier Hernández|হাভিয়ের হার্নান্দেজ
Carlo Goldoni|কার্লো গোলদোনি
Iajuddin Ahmed|ইয়াজউদ্দিন আহম্মেদ
Muhammad Fahim|মুহাম্মাদ ফাহিম
Robert Frost|রবার্ট ফ্রস্ট
Protagoras|প্রোতাগোরাস
Carl David Anderson|কার্ল ডেভিড অ্যান্ডারসন
Shaquille O'Neal|শাকিল ও'নিল
Ja'far al-Sadiq|জাফর আস-সাদিক
Andreas Vesalius|আন্দ্রে ভেসালিআস
Henry James|হেনরি জেমস
Omar Sharif|ওমর শরিফ
Benedict V|পোপ পঞ্চম বেনেডিক্ট
Alec Baldwin|আলেক বল্ডউইন
T. E. Lawrence|টমাস এডওয়ার্ড লরেন্স
Alexander II|পোপ দ্বিতীয় আলেকজান্ডার
Bāṇabhaṭṭa|বাণভট্ট
Aishwarya R. Dhanush|ঐশ্বর্য রজনীকান্ত
Chaim Weizmann|হাইম ভাইজমেন
Benedict III|পোপ তৃতীয় বেনেডিক্ট
Samuel L. Jackson|স্যামুয়েল এল. জ্যাকসন
Aleister Crowley|অ্যালেস্টার ক্রোলি
Dani Alves|দানি আলভেস
Veselin Topalov|ভেসেলিন তোপালভ
Pyotr Kapitsa|পিয়োতর কাপিৎসা
Satchidananda Saraswati|সচ্চিদানন্দ সরস্বতী
Paul Erdős|পল এর্ডশ
Jean Tirole|জঁ তিরল
Katie Holmes|কেটি হোমস
Jill Ireland|জিল আয়ারল্যাণ্ড
Michael Tucker|মাইকেল টাকার
Howard Gardner|হাওয়ার্ড গার্ডনার
Arthur Benjamin|আর্থার বেঞ্জামিন
Peter Sellers|পিটার সেলার্স
Paolo Rossi|পাওলো রসি
Mikhail Botvinnik|মিখাইল বোতভিনিক
Roland Barthes|রলঁ বার্ত
William Campbell|উইলিয়াম ক্যাম্পবেল
Atahualpa|আটাওয়ালপা
Harold Urey|হ্যারল্ড ক্লেটন ইউরি
Aristide Briand|আরিস্তিদ্‌ ব্রিয়োঁ
Helen Clark|হেলেন ক্লার্ক
Alexis Sánchez|আলেক্সিস সানচেজ
Mark Spitz|মার্ক স্পিৎজ
Ursula K. Le Guin|উরসুলা কে. লে গুইন
Nicolas Carnot|সাদি কার্নো
Ray Milland|রে মিলান্ড
Nicolás Otamendi|নিকোলাস ওতামেন্দি
Paul Muni|পল মুনি
George C. Scott|জর্জ সি. স্কট
Gennady Zyuganov|গেন্নাদি জিউগানোভ
Wilt Chamberlain|উইল্ট চেম্বারলিন
Janet Gaynor|জ্যানেট গেনর
Benedict IV|পোপ চতুর্থ বেনেডিক্ট
Shirley Temple|শার্লি টেম্পল
Forest Whitaker|ফরেস্ট হুইটেকার
Ramakrishna|রামকৃষ্ণ পরমহংস
Judit Polgár|ইয়েহুডিট পোলগার
Edward Mills Purcell|এডওয়ার্ড মিল্‌স পারসেল
Fred Hoyle|ফ্রেড হয়েল
Ilya Prigogine|ইলিয়া প্রিগোজিন
Philip Johnson|ফিলিপ জনসন
Claude Makélélé|ক্লদ্‌ মাকেলেলে
Martin Sheen|মার্টিন শীন
Walter Houser Brattain|ওয়াল্টার হাউজার ব্র্যাটেইন
Jean Genet|জঁ জ্যনে
Anne Rice|অ্যানে রাইস
Joe Cole|জো কোল
Edgar Davids|এডগার ডাভিড্‌স
Dennis Bergkamp|ডেনিস বের্গকাম্প
Jostein Gaarder|ইয়স্তেন গার্ডার
Alexis Carrel|অ্যালেক্সিস কারেল
John Kenneth Galbraith|জন কেনেথ গলব্রেইথ
Hristo Stoichkov|হ্রিস্টো স্টইচকভ
Anders Jonas Ångström|অন্দের্শ ইয়োনাস অংস্ট্রেম
Jerome Isaac Friedman|জেরোম আইজ্যাক ফ্রিডম্যান
Pitbull|পিটবুল
Frits Zernike|ফ্রিৎস জের্নিকে
Danny Welbeck|ড্যানি ওয়েলব্যাক
Massimo Ambrosini|মাসসিমো আমব্রোসিনি
Marin Mersenne|মারাঁ মের্সেন
Preity Zinta|প্রীতি জিনতা
E. M. Forster|এডওয়ার্ড মরগ্যান ফরস্টার
Gloria Stuart|গ্লোরিয়া স্টুয়ার্ট
Randal Cremer|র‌্যান্ডাল ক্রেমার
Ayub Khan|আইয়ুব খান
Rachel McAdams|র‍্যাচেল ম্যাকঅ্যাডাম্‌স
Carlos Alberto Parreira|কার্লোস আলবার্তো পেরেইরা
Michael Johnson|মাইকেল জনসন
Gary Becker|গ্যারি বেকার
Edward Sapir|এডওয়ার্ড স্যাপির
John Edward Gray|জন অ্যাডওয়ার্ড গ্রে
Peter Ware Higgs|পিটার হিগস
David Trimble|ডেভিড ট্রিম্বল
Manuel Noriega|মানুয়েল নরিয়েগা
Ilya Frank|ইলিয়া ফ্রাংক
Kai Siegbahn|কাই সিগবান
