Lisa del Giocondo|ലിസ ഡെൽ ഗിക്കോണ്ടൊ
Amānullāh Khān|അമാനുള്ള ഖാൻ
Martin Niemöller|മാർട്ടിൻ നീംലർ
Levon Aronian|ലെവോൺ അറോൺഹാൻ
Viktor Frankl|വിക്ടർ ഫ്രാങ്കിൾ
Adelbert von Chamisso|അഡൽബെർട്ട് വോൺ ചമിസ്സോ
Norman Borlaug|നോർമൻ ബോർലോഗ്
Herbert von Karajan|ഹെർബെർട്ട് ഫൊൺ കരാജൻ
Sir George Stokes, 1st Baronet|ജോർജ് സ്റ്റോക്സ്
Peter Simon Pallas|Peter Simon Pallas
Henri Cartier-Bresson|ഓഹി കാർച്യേ ബഹ്സൺ
Taishō|തായ്ഷോ ചക്രവർത്തി
Kirron Kher|കിരൺ ഖേർ
Aruna Irani|അരുണ ഇറാനി
Manoj Bajpai|മനോജ് ബാജ്‌പേയ്
John Napier|ജോൺ നേപ്പിയർ
Hipparchus|ഹിപ്പാർക്കസ്
Angela Davis|ഏഞ്ചല ഡേവിസ്
Al-Farabi|അൽ ഫാറാബി
Charles-Maurice de Talleyrand-Périgord|ടലെറാൻ
Hideki Tojo|ഹിദേക്കി ടോജോ
Augusta Victoria of Schleswig-Holstein|അഗസ്റ്റ വിക്ടോറിയ ഓഫ് ഷ്ലെസ്വിഗ്-ഹോൾസ്റ്റീൻ
Edward Gibbon|എഡ്‌വേഡ് ഗിബ്ബൺ
Jefferson Davis|ജെഫേർസൺ ഡേവിസ്
Lady Jane Grey|ലേഡി ജെയ്ൻ ഗ്രേ
William Shockley|വില്യം ഷോക്ലി
Ava Gardner|അവ ഗാർഡ്നർ
Paulo Freire|പൗലോ ഫ്രെയർ
Girolamo Savonarola|സവനരോള
Svetla Vassileva|സ്വെറ്റ്‌ല വസ്സിലെവ
Usher|അഷർ
Ana Castillo|അന കാസ്റ്റിലോ
Robert Frost|റൊബർട്ട് ഫ്രോസ്റ്റ്
Carl David Anderson|കാൾ ഡേവിഡ് ആൻഡേഴ്സൺ
