Akshobhya Tirtha|अक्षोभ्यतीर्थः
Shilabhattarika|शीला भट्टारिका
Max Müller|माक्स् मुल्लरः
Orso Orsini|Orso Orsini
Abhinandan Varthaman|अभिनन्दनः वर्धमानः
Manjulata Mandal|मंजुलता मण्डल
Bharadwaaja|भरद्वाजः
Vallabbhadeva|वल्लभदेवः
Fanny Vaucher|Fanny Vaucher
Kate Sayer|Kate Sayer
Anna Kulikova|Anna Kulikova
Jean-Pierre Lloyd|Jean-Pierre Lloyd
Areke Hassink|Areke Hassink
Paula Fedirchuk|Paula Fedirchuk
Claudia Migliorini|Claudia Migliorini
Sylvia Debboudt|Sylvia Debboudt
Miranda De Permentier|Miranda De Permentier
Aurélie Anaise|Aurélie Anaise
Gulnara Fatkullina|Gulnara Fatkullina
Mirza Nikolajev|Mirza Nikolajev
Elīna Ieva Vītola|Elīna Ieva Vītola
Kyle Murray|Kyle Murray
Stefan Kiefer|Stefan Kiefer
Prashant Mohapatra|प्रशांत महापात्र
Socrates|सुकरात
Rajiv Gandhi|राजीवगान्धिः
Hippocrates|हिप्पाक्रटीस्
Novak Djokovic|नोवाक् जोकोविक्
Kalidasa|कालिदासः
Rosa Luxemburg|रोजा लक्जेम्बर्ग
Darshan Ranganathan|दर्शन् रङ्गनाथन्
Akbar|अक्बरः
Kwame Nkrumah|क्वामे एन्क्रूमाह
Johannes Gutenberg|योहान गुटेनबर्ग
Max Planck|माक्स प्लान्क
Thomas Aquinas|थामस एक्विनास
Ronald Reagan|रोनाल्द रेगन
Rafael Nadal|राफेल् नडाल्
Harry S. Truman|हैरी ट्रूमन
Stephen Hawking|स्टीफन् हाकिङ्ग्
Herodotos|हेरोडोटस
Bhavabhūti|भवभूतिः
Hema Malini|हेमा मालिनी
Hammurabi|हाम्मुरबी
Attila|अटिला
William the Conqueror|विलियम १
Gregor Mendel|ग्रिगोर् जान् मेण्डेल्
Richard Feynman|रिचार्ड फैनमन
Averroes|आवेरोस्
Hendrik Lorentz|हेण्ड्रिक लारेन्ज़
Bernhard Riemann|बर्न्हार्ड रीमन
Salman Rushdie|सलमान रश्दी
Pierre-Simon Laplace|पियर सिमों लाप्लास
Suharto|सुहार्तो
Satyendra Nath Bose|सत्येन्द्रनाथ बसु
Swami Vivekananda|स्वामी विवेकानन्दः
Euripides|युरिपिडीस
Park Ji-sung|जी-सुंग पार्क
Philipp Lenard|फिलिप लेनार्ड
Ferdinand Braun|कार्ल् फर्डिनाण्ड् ब्रौन्
Johannes Stark|जोहन्नेस स्टार्क
Rajinikanth|रजनिकान्तः
