B. Sriramulu|ବି. ଶ୍ରୀରାମୁଲୁ
B. V. Naik|ବି ଭି ନାଇକ
Baba Kanshi Ram|ବାବା କାଂଶି ରାମ
Bahadur Singh Chouhan|ବାହାଦୁର ସିଂହ ଚୌହାନ
Bakul Harshadrai Dholakia|ବକୁଳ ହର୍ଷଦ୍ରାଇ ଢୋଲାକିଆ
Basu Deb Sudhal Deb|ବାସୁଦେବ ସୁଢ଼ଳଦେବ
Behram Contractor|ବେହରମ କଣ୍ଟ୍ରାକଟର
Bhagabat Sahu|ଭାଗବତ ସାହୁ
Bhulabhai Desai|ଭୁଲାଭାଇ ଦେଶାଇ
Bina Agarwal|ବିନା ଅଗ୍ର‌ୱାଲ
Bindiya Goswami|ବିନ୍ଦିୟା ଗୋସ୍ଵାମୀ
Bindu|ଅଫସାନା ଆରା ବିନ୍ଦୁ
Bishnu Pada Ray|ବିଷ୍ଣୁ ପଦ ରାୟ
Bonnie Hammer|ବୋନି ହାମର
Rabi Kinagi|ରବି କିନ୍ନାଗୀ
Puja Banerjee|ପୂଜା ବୋଷ
Cha. Fra. D'Costa|ଚା. ଫ୍ରା. ଡି'କୋସ୍ଟା
Chaganti Somayajulu|ଚଗାନ୍ତି ସୋମାୟାଜୁଲୁ
Chandrakant Raghunath Patil|ଚନ୍ଦ୍ରକାନ୍ତ ରଘୁନାଥ ପାଟିଲ
Hemananda Biswal|ହେମାନନ୍ଦ ବିଶ୍ୱାଳ
Harekrishna Mahatab|ହରେକୃଷ୍ଣ ମହତାବ
Chewang Norphel|ଚେୱାଙ୍ଗ ନରଫେଲ
Chhatar Singh Darbar|ଛତର ସିଂହ ଦରବାର
Chintamani Tryambak Khanolkar|ଚିନ୍ତାମଣି ତ୍ରୟମ୍ବକ ଖାନୋଲକର
Chittoor Nagaiah|ଚିତ୍ତୁର ନ‌ଗୟା
Chabilal Upadhyaya|ଚୋବିଲାଲ ଉପାଧ୍ୟାୟ
Dahyabhai Patel|ଡାହ୍ୟାଭାଇ ପଟେଲ
Damayanti Joshi|ଦମୟନ୍ତୀ ଜୋଶୀ
Damodar Hota|ଦାମୋଦର ହୋତା
Deepika Chikhalia|ଦୀପିକା ଚିଖାଲିଆ
Deven Verma|ଦେବେନ ବର୍ମା
Divij Sharan|ଦିଭିଜ ଶରଣ
Manoranjan Das|ମନୋରଞ୍ଜନ ଦାସ
Durga Malla|ଦୁର୍ଗା ମଲ୍ଲ
Manmohan Mahapatra|ମନମୋହନ ମହାପାତ୍ର
Emani Sankara Sastry|ଏମନି ଶଙ୍କର ଶାସ୍ତ୍ରୀ
Fazl-e-Haq Khairabadi|ଫୈଜଲ ହକ୍ ଖୈରାବାଡ଼ି
G. S. Ghurye|ଜି ଏସ୍ ଘୁର୍ୟେ
Gagandeep Kaur|ଗଗନଦୀପ କୌର
Gangadhar Pradhan|ଗଙ୍ଗାଧର ପ୍ରଧାନ
Gauahar Khan|ଗୌହର ଖାନ
Geeta Kapur|ଗୀତା କପୁର
Ghulam Mohammed Mir|ଗୁଲାମ ମୋହମ୍ମଦ ମୀର
Ghulam Mustafa Khan|ଗୁଲାମ ମୁସ୍ତାଫା ଖାନ
Ghulam Sadiq Khan|ଗୁଲାମ ସାଦିକ ଖାନ
Giridhari Yadav|ଗିରିଧାରୀ ଯାଦବ
Gopal Hari Deshmukh|ଗୋପାଳ ହରି ଦେଶମୁଖ
Gopal Nilkanth Dandekar|ଗୋପାଳ ନିକଣ୍ଠ ଦାଣ୍ଡେକର
Gopi Krishna|ଗୋପୀ କ୍ରିଷନ
Gopinath Saha|ଗୋପୀନାଥ ସାହା
Gubbi Veeranna|ଗୁବ୍ବୀ ବୀରନ୍ନା
Gulabchand Hirachand|ଗୁଲାବଚନ୍ଦ ହୀରାଚନ୍ଦ
Gurram Jashuva|ଗୁରାମ ଜାଶୁବା
Guru Radha Kishan|ଗୁରୁ ରାଧା କିଶନ
Gurudas Dasgupta|ଗୁରୁଦାସ ଦାସଗୁପ୍ତା
H. Vasanthakumar|ଏଚ୍. ବସନ୍ତ କୁମାର
Hari Shankar Sharma|ହରି ଶଙ୍କର ଶର୍ମା
Rita Chowdhury|ରୀତା ଚୌଧୁରୀ
Mayadhar Mansingh|ମାୟାଧର ମାନସିଂହ
Purushottama Lal|ପୁରୁଷୋତ୍ତମ ଲାଲ
Inder Raj Anand|ଇନ୍ଦର ରାଜ ଆନନ୍ଦ
Ram Vilas Paswan|ରାମ ବିଳାଶ ପାଶ୍ୱାନ
Ram Sampath|ରାମ ସମ୍ପତ
Jack Gibson|ଜ୍ୟାକ ଗିବସନ
Jagadish Mohanty|ଜଗଦୀଶ ମହାନ୍ତି
Jagbir Singh Chhina|ଜଗବୀର ସିଂହ ଛିନା
Jagdish Raj|ଜଗଦୀଶ ରାଜ
Jagdish Shukla|ଜଗଦିଶ ଶୁକ୍ଳା
Jalal Agha|ଜଲାଲ ଆଗା
Jandhyala Subramanya Sastry|ଜନ୍ଧ୍ୟାଲା ସୁବ୍ରମନ୍ୟମ ଶାସ୍ତ୍ରୀ
Jaya Prakash Reddy|ଜୟପ୍ରକାଶ ରେଡ୍ଡୀ
Jaya Thyagarajan|ଜୟା ତ୍ୟାଗରଞ୍ଜନ
Jayant Parmar|ଜୟନ୍ତ ପାରମାର
Jayshreeben Patel|ଜୟଶ୍ରୀବେନ୍ ପଟେଲ
Jitamitra Prasad Singh Deo|ଜିତାମିତ୍ର ପ୍ରସାଦ ସିଂଦେବ
Jitendra Singh|ଜିତେନ୍ଦ୍ର ସିଂହ
John Martyn|ଜନ ମାର୍ଟିନ
Joi|ଯୋଇ
Joseph Baptista|ଜୋସେଫ ବାପ୍ତିସ୍ତ
Joshna Chinappa|ଜୋଶନା ଚିନପ୍ପା
Jyoti Sunita Kullu|ଜ୍ୟୋତି ସୁନିତା କୁଲୁ
K. Kavitha|କେ. କବିତା
K. M. Beenamol|କେ . ଏମ .ବୀଣାମୋଲ
K. M. Mammen Mappillai|କେ ଏମ ମାମ୍ମେନ ମାପ୍ପିଲ୍ଲାଇ
K. N. Ramchandran|କେ. ଏନ୍. ରାମଚନ୍ଦ୍ରନ୍
K. R. Srinivasa Iyengar|କେ. ଆର. ଶ୍ରୀନିବାସ ଆୟଙ୍ଗର
Kabori Sarwar|କବୋରୀ ସରୱର
Kalpana Iyer|କଳ୍ପନା ଆୟର
Kamala Das Gupta|କମଳା ଦାସ ଗୁପ୍ତା
Kamalakanta Jena|କମଳାକାନ୍ତ ଜେନା
Kamla Devi Patle|କମଳା ଦେବୀ ପଟେଲ
Kanak Mal Katara|କନକମଳ କଟାରା
Kanika Kapoor|କନିକା କପୂର
Kanwar Pal Singh Gill|କଂୱର ପାଲ ସିଂହ
Kenia Jayantilal|କେନିଆ ଜୟନ୍ତୀଲାଲ
Kenneth Anderson|କେନ୍ନେଥ ଆଣ୍ଡର୍ସନ
Kesari Singh Barahath|କେଶରୀ ସିଂହ ବାରହଟ
Koneru Ramakrishna Rao|କୋନେରୁ ରାମକୃଷ୍ଣ ରାଓ
Krishna Nath Sarmah|କୃଷ୍ଣା ନାଥ ସରମା
Kristappa Nimmala|କ୍ରିଷ୍ଟପ୍ପା ନିମ୍ମାଲ
Kumud Ranjan Mullick|କୁମୁଦ ରଞ୍ଜନ ମଲ୍ଲିକ
