Richa Chadha|રિચા ચઢ્ઢા
Yamini Krishnamurthy|યામીની કૃષ્ણમૂર્તિ
S. K. Shivakumar|શિવકુમાર એસ. કે
Sandipani|સાંદીપનિ
Sanjay Shamrao Dhotre|સંજય શામરાવ ધોત્રે
Satheesha Rai|સતીષા રાય
Sharan Rani Backliwal|શરણ રાની માથુર
Sona Ram|કર્નલ સોનારામ
Sooni Taraporevala|સુની તારાપોરવાલા
Sudarshan Bhagat|સુદર્શન ભગત
Sunil Kumar Ahuja|સુનિલકુમાર આહુજા
Tarla Dalal|તરલા દલાલ
Tathagata Satapathy|તથાગત સત્પથી
Thangso Baite|થાંગસો બાઇતે
Thokchom Meinya|ડૉ થોકચોમ મેઇન્યા
Uday Kotak|ઉદય કોટક
Udit Raj|ઉદિત રાજ
Veeru Devgan|વીરુ દેવગણ
Harita Kaur Deol|હરિતા કૌર દેઓલ
Anna Torvalds|અન્ના ટોરવાલ્ડ્સ
Chandraghanta|ચન્દ્રઘંટા
Jayakrishna Indraji|જયકૃષ્ણ ઇન્દ્રજી ઠાકર
P. C. Mohan|પી૰સી૰ મોહન
Ponty Chadha|પોન્ટી ચઢ્ઢા
Suhasini Ganguly|સુહાસિની ગાંગુલી
Anandshankar Dhruva|આનંદશંકર ધ્રુવ
Unnava Lakshmi Narayana|ઉન્નવ લક્ષ્મી નારાયણ
Dhan Singh Thapa|ધન સિંઘ થાપા
Jagat Singh|જગતસિંઘજી મહારાજ
Shameem Dev Azad|શમીમ દેવ આઝાદ
A. T. Patil|અશોક તાપીરામ પાટિલ
Chandralekha|ચંદ્રલેખા
Minnie M. Mathan|મીની એમ. માથન
Aruna Dhathathreyan|અરુણા ધથથ્રેયણ
Ranjana Desai|રંજના પ્રકાશ દેસાઈ
Rama Devi|રમા દેવી
Cuckoo Moray|કૂકકૂ  મોરેય
Homi Mody|homi mody
Ratilal Chandaria|રતિલાલ ચંદરયા
Anasuya Sarabhai|અનસુયા સારાભાઈ
Kirit Premjibhai Solanki|કિરીટ પ્રેમજીભાઈ સોલંકી
Ram Shankar Katheria|રામ શંકર
Vicky Batra|વિકી બત્રા
