Nicolaus Copernicus|ڪوپرنيڪس
Gregory David Roberts|رابرٽس
Ibn Abi Usaibia|ابن ابي اصيبه
Islamic view of Isaac|اسحاق عليہ السلام
Amrita Pritam|امرتا پريتم
Ruqayyah bint Muhammad|رقيه بنت محمد
Homai Vyarawalla|ھومائي وياراوالا
Yunus|يونس عليہ السلام
Sayajirao Gaekwad III|سياجي رائو گائيڪ واد
Alisha Chinai|اليشا چنائي
Amjad Ali Khan|امجد علي خان
Bhagwatikumar Sharma|بھاگوت ڪمار شرما
Edward Hamilton Aitken|ايڊورڊ ھيملٽن ائٽڪن
Kamila Shamsie|ڪاملا شمسي
Rani Durgavati|راڻي دُرڳاوتي
Raja Dahir|راجا ڏاهر
Maymunah bint al-Harith|ميمونه بنت حارث
Democrates|ڊيموڪريٽس
Shah Nawaz Bhutto|سر شاھنواز ڀٽو
Juwayriyya bint al-Harith|جويريه بنت حارث
Roopmati|روپمتي
Tufail Mohammad|ميجر طفيل محمد شهيد
Syed Ahmad Barelvi|احمد شاھ بريلوي
Rana Bhagwandas|راڻا ڀڳوان داس
Aamina Sheikh|آمنه شيخ
Abu Mashar Sindhi|ابو معشر سنڌي
Ali Mohammad Mahar|علي محمد مهر
Amar Jaleel|امر جليل
Amar Singh Chamkila|امر سنگھ چمڪيلا
Chand Kaur|چاند ڪور
Charli XCX|چارلي ايڪس‌سي ايڪس
Chiragh Ali|چراغ علي
Dolly Guleria|ڊولي گليريا
Homi Wadia|ھومي واڊيا
Imad Wasim|عماد وسيم
Jam Tamachi|ڄام تماچي
John Jacob|جان جيڪب
Khawaja Muhammad Asif|خواجا محمد آصف
|اعجاز الحق قدوسي
Zarina Baloch|زرينه بلوچ
|عبدالله محسود گروپ
Masum Shah|مير معصوم شاھ بکري
Muhammad Ilyas Qadri|محمدالياس قادري
Nasir-ud-Din Qabacha|ناصرالدين قباچو
Rukhsana Khan|رڪسانہ خان
Sami|سامي (شاعر)
Shafi Muhammad Shah|شفيع محمد شاھ
Shah Inat Rizvi|ميون شاھ عنايت رضوي
Shahzaib Hasan|شهزيب حسن
Tavleen Singh|تاولين سنگھ
Zahid Qurban Alvi|زاهد قربان علوي
Muhammad Mohsin Bekas|محمد محسن بيڪس
Mir Mukhtar Akhyar|مير مختار اخيار
Parkash Kaur|پرڪاش ڪور
Makhdoom Bilawal|مخدوم بلاول
Dr. Syed Shahzad Ali Najmi|سید شہزاد علی نجمی
Kalpana Patowary|ڪلپنا پوٽواري
Sayyid Ghulam Hussain Shah Bukhari|غلام حسين شاهه بخاري
Taslima Akhter|تسليما اختر
Mehtab|مهتاب
Mir Ejaz Khan Jakhrani|اعجاز جکراڻي
Syed Ghulam Mustafa Shah|غلام مصطفيٰ شاھ
Syed Jalal Mehmood Shah|سيد جلال محمود شاهه
Gulab Bai|گلاب ٻائي
Hajl ibn Abdul Muttalib|حجل بن عبد المطلب
Vojtech H. Lindtner|Vojtech H. Lindtner
Ahmad of Kalat|مير احمد يار خان
Mian Saqib Nisar|ميان ثاقب نثار
Philipp Wobeto|Philipp Wobeto
Baisali Mohanty|بيسالي موهنتي
|آفاق صديقي
Master Chander|ماسٽر چندر
Sonia Fisch-Muller|Sonia Fisch-Muller
|اسحاق راهي
|جارج اسٽيڪ
|جبار آزاد منگي
Razzaq Mahar|رزاق مهر
|نواب ولي محمد
|منصور الحق آرائين
|غلام محمد آريجو
|ابن الياس سومرو
|ابو البقا ملا ٺٽوي
|ابو شوڪت حمزو
|ابو الحسن جي سنڌي
|اختر مورائي
Allah Dino Noonari|استاد الھڏنو نوناري
|استاد لغاري
|اسحاق فقير ڪارو مڱڻھار
|اشرف شاھ ڪامارائي
|اشرف علي ٻرڙو
|اقبال ملاح
|الطاف جوکيو
|امام بخش صابر
|حافظ امام بخش سومرو
|بابا گوبند داس
|امير حسن
|انور بلوڇ
Manpreet Akhtar|من پريت اختر
Laurent Vallotton|Laurent Vallotton
Al-Ghaydaq ibn Abdulmuttalib|غيداق بن عبد المطلب
John Hollier|John Hollier
Bilawal Shah Noorani|سيد بلاول شاھ نوراني
Dionisio García Cortázar|Dionisio García Cortázar
Máximo Cánovas del Castillo|Máximo Cánovas del Castillo
|عبدالغفار تبسم
Hazar Khan Bijarani|ھزار خان بجاراڻي
Sobia Shahid|صوبيہ شاهد
Zartaj Gul|زرتاج گل
