Nisha Rawal|निशा रावल
Akshar Patel|अक्षर पटेल
Kriti Sanon|कृति सेनन
Mrunal Thakur|मृणाल ठाकुर
Digangana Suryavanshi|दीगंगना सूर्यवंशी
Shruti Bapna|श्रुति बाफना
Indira Ranamagar|इन्दिरा राणा मगर
Sidhant Gupta|सिद्धान्त गुप्ता
Neha Mehta|नेहा मेहता
Sooraj Pancholi|सूरज पञ्चोली
Bhargavi Rao|भार्गवी राव
Sankhadhar Sakhwa|शङ्खधर शाख्वा
Vijay Kumar Pandey|विजय कुमार पाण्डे
Sher Dhan Rai|शेरधन राई
Alisson|अलिस्सोन
Radha Paudel|राधा पौडेल
Halsey|हल्जि
Asha Bhat|आशा भाट
Villy Aellen|Villy Aellen
Namita Dali|नमिता दली
Badshah|बादशाह
Helly Shah|हेली शाह
Sayyeshaa|सायेशा सैगल
Hari Prasad Rimal|हरिप्रसाद रिमाल
Bhawana Ghimire|भावना घिमिरे
|अमित मोहन झा
|कमला चौधरी
|जगदीश चन्द्र अनिल
|मदन ठाकुर
|राजकुमार मल्लिक
|राजेश मोहन झा
Nicolas Pépé|निकोलस पेपे
Harshaali Malhotra|हर्षाली मल्होत्रा
Mandy Rose|मेण्डि रोज
Hardik Patel|हार्दिक पटेल
Sai Dharam Tej|साई धरम तेज
Swastima Khadka|स्वस्तिमा खड्का
Archana Kochhar|अर्चना कोच्चर
Kamal Khatri|कमल खत्री
Bardish Chagger|बर्दिश चग्गर
Marta Unzué|मार्ता अन्जुई
Rishma Gurung|रेश्मा गुरुङ
Zahida Zaidi|जाहिदा जेदी
|आश्मा डिसी
|स्वेता खड्का
Babu Bogati|बाबु बोगटी
Anusmriti Sarkar|अनुस्मृति सरकार
Kunhu Muhammed|कुन्हु मुहम्मद
Kamal Shrestha|कमल श्रेष्ठ
Ayushman Joshi|आयुस्मान जोशी
Dharmapaal Barsingh Thapa|धर्मपालवरसिँह थापा
Sushil Chhetri|सुशील क्षेत्री
Balbhadra Shah|बलभद्र शाह
Rohit John Chhetri|रोहित जोन क्षेत्री
Chanira Bajracharya|चनिरा बज्राचार्य
Shradha Sharma|श्रद्धा शर्मा
Riya Bhatia|रिया भाटिया
Dalima Chhibber|डालीमा छिब्बर
Manuel Martínez Chumillas|Manuel Martínez Chumillas
Ángel Cadarso del Pueyo|Ángel Cadarso del Pueyo
Shubhi Ahuja|शुभी अहुजा
Nikita Chandak|निकिता चन्दक
Barsha Raut|वर्षा राउत
Sushil Shrestha|सुशील श्रेष्ठ
Melina Rai|मेलिना राई
Mamta Chaudhary|ममता चौधरी
Narayan Prakash Saud|नारायण प्रकाश साउद
Sushan Bhari|सुशन भारी
Rabindra Jha|रवीन्द्र झा
Nikita Dutta|निकिता दत्ता
Madan Kumari Shah|मदन कुमारी शाह (गरिमा शाह)
Mukti Prasad Pathak|मुक्ति प्रसाद पाठक
Manpur Chaudhary|मानपुर चौधरी
Rishikesh Pokhrel|ऋषिकेश पोखरेल
Asha Chaturbedi|आशा चतुर्वेदी
Pashupati Chulagai|पशुपति चौलागाई
Rameshwor Prasad Dhungel|रामेश्वर प्रसाद ढुङ्गेल
Ram Krishna Yadav|राम कृष्ण यादव
Karda Badhur Thapa|कर्ण बहादुर थापा
Lalit Jung Shahi|ललित जंग शाही
Narayan Maan Bijukche|नारायण मान बिजुक्छेँ (रोहित)
Paddha Narayan Chaudhari|पद्म नारायण चौधरी
LalBabu Singh Bhuihar|लालबाबु सिंह भुइहार
Kamaleshwor Puri Goshami|कमलेश्वर पूरी गोस्वामी
Kalpana Sob|कल्पना सोब
Vijay Kumar Gachhdar|विजय कुमार गच्छदार
Bimal Kumar Kedia|विमल कुमार केडिया
Bimalendra Nidhi|विमलेन्द्र निधी
Prem Bahadur Ale|प्रेम बहादुर आले
Prem Bahadur Giri|प्रेम बहादुर गिरी
Prem Suwal|प्रेम सुवाल
Shakuntala RajBhandari|शकुन्तला राजभण्डारी (कार्की)
Shyam Kumar Shrestha|श्याम कुमार श्रेष्ठ
Krishna Prasad Sitaula|कृष्ण प्रसाद सिटौला
Ganesh Man Gurung|गणेश मान गुरुङ्ग
Gita Chhetri|गीता क्षेत्री
Santa Kumar Tharu|सन्त कुमार थारु
Prakash Sharma Paudel|प्रकाश शर्मा पौडेल
Balram Adhakari|बलराम अधिकारी
Badhur Singh Thapa|बहादुर सिंह थापा
Vishwendra Pashwan|बिश्वेन्द्र पासवान
Surendra Prasad Jaiswal|सुरेन्द्र प्रसाद जयसवाल
Surendra Raj Acharya|सुरेन्द्र राज आचार्य
Sumitra Tharuni|सुमित्रा थरुनी
Bansidhar Mishra|डा. बंशिधर मिश्र
Kalyani Priyadarshan|कल्याणी प्रियदर्शन
Aakash Bista|आकाश बिस्ट
Sandeep Sunar|सन्दीप सुनार
Sundeep Jora|सुन्दीप जोरा
Sunny Patel|सन्नि पटेल
Prakash KC|प्रकाश केसि
Harishankar Sah|हरिशंकर शाह
Saraswoti Chaudhary|सरस्वती कुमारी चौधरी
Gopal Prasad Parajuli|गोपाल प्रसाद पराजुली
Prakash Neupane|प्रकाश न्यौपाने
Barsha Siwakoti|बरशा सिवाकोटी
kalpana regmi|कल्पना रेग्मी
Ratneshwar Lal Kayastha|रत्नेश्वर लाल कायस्थ
Shreya Khadka|श्रेया खड्का
Sujata Rai|सुजाता राई
Nery Thapa|नेरी थापा
Hima Das|हिमा दास
Max Müller|म्याक्स मुलर
Mahendra Bahadur Shahi|महेन्द्र बहादुर  शाही
Madhav Rani Shah|माधवी रानी साह
Man Bahadur  Bishokarma|मान बहादुर विश्वकर्मा
Bijay Chaurasia|विजय चौरसिया
Orso Orsini|Orso Orsini
Abhinandan Varthaman|अभिनन्दन वर्द्धमान
Komal Oli|कोमल ओली
Nirmal Purja|निर्मल पुर्जा
Ashok Kumar Yadav|अशोक कुमार यादव
Gita Kumari Yadav|गीता कुमारी यादव
Govinda Bahadur Neupane|गोविन्द बहादुर न्यौपाने
Manju Kumari|मन्जु कुमारी
Minu Gurung|मिनु गुरुङ
Pritam Acharya|प्रितम आचार्य
Fanny Vaucher|Fanny Vaucher
Bhumika Giri|भूमिका गिरी
Kate Sayer|Kate Sayer
Krishna Malla|कृष्ण मल्ल
Anna Kulikova|Anna Kulikova
Jean-Pierre Lloyd|Jean-Pierre Lloyd
Areke Hassink|Areke Hassink
Paula Fedirchuk|Paula Fedirchuk
Claudia Migliorini|Claudia Migliorini
Sylvia Debboudt|Sylvia Debboudt
Miranda De Permentier|Miranda De Permentier
Aurélie Anaise|Aurélie Anaise
Gulnara Fatkullina|Gulnara Fatkullina
Mirza Nikolajev|Mirza Nikolajev
Elīna Ieva Vītola|Elīna Ieva Vītola
Kyle Murray|Kyle Murray
Stefan Kiefer|Stefan Kiefer
Stephen Harper|स्टेफेन हार्पर
Galileo Galilei|ग्यालिलियो ग्यालिली
Bob Marley|बब मार्ली
Molière|मलिएर
Socrates|सुकरात
Dante Alighieri|दान्ते ऐलिगिरी
Caligula|कालिगुला
Robin van Persie|रोबिन भान पर्सी
Rajiv Gandhi|राजीव गान्धी
Céline Dion|सेलिन डियोन
Hippocrates|हिप्पोक्रेटीस
Charles Dickens|चार्ल्स डिकेन्स
50 Cent|फिफ्टी सेन्ट
Hillary Clinton|हिलरी रडम क्लिन्टन
Homer|होमर
Kalidasa|कालिदास
Joan of Arc|जोन अफ अर्क
Rosa Luxemburg|रोजा लक्सेम्बर्ग़
Yuri Gagarin|युरी गगारिन
Akbar|अकबर
Kwame Nkrumah|क्वामे न्क्रुमा
Michael Faraday|माइकल फराडे
Johannes Gutenberg|जोन गुटेन्बर्ग
Ronald Reagan|रोनाल्ड रेगन
Rafael Nadal|रफाएल नडाल
Siobhan Chamberlain|सिओभान क्याम्बरलेन
Serena Williams|सेरेना विलियम्स
Harry S. Truman|हैरी ट्रूमन
Grace Hopper|ग्रेस हूपर
James Madison|जेम्स म्याडिसन
Britney Spears|ब्रिट्नी स्पेयर्स
Franklin Pierce|फ्र्याङ्कलिन पार्स
Anousheh Ansari|अनुशेह अन्सारी
Stephen Hawking|स्टिफन हकिङ
Mike Shinoda|माइक शिनोडा
Chris Watson|कृस वाट्सन
Jeremy Renner|जेरेमी रेनर
Herodotos|हीरोडोटस
Hema Malini|हेमा मालिनी
Alektra Blue|एलेक्ट्रा ब्लु
Ashlynn Brooke|एश्लिन ब्रुक
Beyoncé|बेयोन्से
Rihanna|रिहाना
Lana Del Rey|लेना डेल रे
Michael Phelps|माइकल फ्लेप्स
Jim Carrey|जिम केरी
Julia Roberts|जुलिया रोबर्ट्स
Virginia Woolf|भर्जिनिया वुल्फ
Katy Perry|केइटी पेरी
Chris Jericho|क्रिस जेरिको
Cameron Diaz|क्यामरुन डियाज
Zac Efron|ज्याक एफ्रोन
Satyendra Nath Bose|सत्येन्द्र नाथ बोस
Wangari Muta Maathai|वाङ्गारी माथाई
Swami Vivekananda|स्वामी विवेकानन्द
Hrishikesh Mukherjee|ऋषिकेश मुखर्जी
Christa Wolf|क्रिस्टा वुल्फ
Rajinikanth|रजनीकान्त
Ursula von der Leyen|उर्जुला भोन डर लायन
Bal Thackeray|बाल ठाकरे
Mike Tyson|माइक टाइसन
Anne Boleyn|ऐनी बोलिन
Selena Gomez|सेलेना गोमेज
Guru Nanak|गुरु नानक
Winona Ryder|विनोना राईडर
Mario Götze|मारियो गोट्जे
Miranda Kerr|मिरेण्डा केर
Neymar|नेयमार
Tanuja|तनुजा
Tanishaa Mukerji|तनिशा मुखर्जी
Emma Stone|एम्मा स्टोन
Ariana Grande|अरिएना ग्रान्ड
Lata Mangeshkar|लता मंगेशकर
Dimple Kapadia|डिम्पल कपाडिया
John Constable|जोन कन्स्टेबल
Kiki Håkansson|किकी हाकानस्सन
Dara Singh|दारा सिंह
Zeami Motokiyo|जेमि
William Hogarth|विलियम होगार्थ
Matt Damon|म्याट डामोन
Fergie|फर्गी
Li Na|ली ना
Gal Gadot|गाल गादोत
Kim Kardashian|किम कार्दशियन
Elisha Cuthbert|एलिसा कुथबर्ट
Chandragupta Maurya|चन्द्रगुप्त मौर्य
Freida Pinto|फ्रिडा पिन्टो
Annette Bening|एन्नेट्ट बेनिङ
Brendan Fraser|ब्रिनडेन फ्रासर
Bradley Cooper|ब्राडली कुपर
Eden Hazard|एडेन हाज़ार्ड
Carmen Luvana|कारमेन लुभाना
Amber Heard|अम्बर हर्ड
Allison Janney|एलिसन जेनी
Kelly Macdonald|केली म्याकडोनाल्ड
Jordana Brewster|र्जोडना ब्रिस्टर
Rebeca Linares|रिबेका लिनरेस
Monique Alexander|मोनिक अलेक्जेन्डर
Hrithik Roshan|ऋतिक रोशन
Cecilia Roth|सिसिलिया रोट
Hayley Atwell|हेइली एट्वेल
Janet Reno|जेनेट रेनो
Jill Kelly|जिल केली
Shivaji Bhonsle I|शिवाजी
Dichen Lachman|दिछेन ल्याखमेन
Jenna Presley|जिना प्रेस्ली
Nikky Blond|निक्की ब्लन्ड
Gauge|गज
Stacy Silver|स्ट्यासी सिल्भर
I. K. Gujral|इन्द्र कुमार गुजराल
Christy Canyon|कृष्टी क्यान्योन
Linsey Dawn McKenzie|लिन्से डन म्याकेन्जी
Sophia Santi|सोफिया सान्ती
Shawna Lenee|शव्ना लेनी
Yasmine Lafitte|यास्मिन लफिट्टे
Yukta Mookhey|युक्ता मुखी
Theresa May|थेरेसा मे
Juli Ashton|जुली अस्टन
Kathy Hilton|क्याथी हिल्टन
Emily Rose|एमिली रोज
Konkona Sen Sharma|कोंकोना सेन
Sabrina Ferilli|सब्रिना फेरिल्ली
Roman Reigns|रोमन रेन्ज
Ashutosh Gowariker|आशुतोष गोवरिकर
Amrita Arora|अमृता अरोडा
Katalin Vad|क्याटालिन भाड
Jeff Bezos|जेफ बेजोस
Tulsidas|तुलसीदास
Jagadish Chandra Bose|डा. जगदीश चन्द्र बोस
Pushpa Kamal Dahal|पुष्प कमल दाहाल
Abhijit Banerjee|अभिजीत बनर्जी
Shammi Kapoor|शम्मी कपूर
Tony Abbott|टोनी एबोट
Earle Page|अर्ल पेज
Sushil Kumar|सुशील कुमार
Shashi Kapoor|शशि कपूर
Mithun Chakraborty|मिथुन चक्रवर्ती
Kelli McCarty|केली म्याककार्टी
Jennifer Ketcham|जेनिफर केचह्याम
Arjun Rampal|अर्जुन रामपाल
Jasmin St. Claire|ज्यास्मिन सेन्ट क्लाइरी
Antoine Griezmann|एन्टोनी ग्रिजम्यान
Tu Youyou|तु युयु
Sheila Dikshit|शीला दीक्षित
Nadira|नादिरा
Divya Bharti|दिव्या भारती
Shabana Azmi|शबाना आजमी
Alka Yagnik|अलका याज्ञनिक
Gayatri Joshi|गायत्री जोशी
Rokeya Sakhawat Hossain|बेगम रुकय्या
Amy Fisher|एमी फिसर
Ela Bhatt|इला भट्ट
Caroline Pierce|क्यारोलिन पाइर्स
Chloe|क्लोए
