Anders Jonas Ångström|अँडर्स योनास अँग्स्ट्रॉम
Jerome Isaac Friedman|जेरोम आय. फ्रीडमन
Frits Zernike|फ्रिट्स झेर्निके
Danny Welbeck|डॅनी वेल्बेक
Lucan|मार्कस अॅनेयस लुकानस
Preity Zinta|प्रीती झिंटा
Jermain Defoe|जर्मेन डीफो
Ion Iliescu|इयोन इलेस्कु
Ivan Goncharov|इव्हान गॉन्चारोव्ह
Ayub Khan|अयुब खान
Clyde Tombaugh|क्लाइड टॉमबॉ
Majorian|माजोरियन
Susan B. Anthony|सुझन बी. अँथोनी
João Pereira|जो परेरा
Manuel Noriega|मनुएल नोरिगा
Ilya Frank|इल्या फ्रँक
Kai Siegbahn|कै सीगबान
Rafic Hariri|रफिक हरिरि
Robin Söderling|रॉबिन सॉडरलिंग
Neve Campbell|नीव्ह कॅम्पबेल
Kenneth G. Wilson|केनेथ गेडीज विल्सन
Henry Temple, 3rd Viscount Palmerston|हेन्री जॉन टेंपल
Muzio Clementi|मुझियो क्लेमेंती
Ahmed III|तिसरा एहमेद
السلطان مراد الخامس|पाचवा मुराद, ओस्मानी सम्राट
Andimuthu Raja|ए. राजा
Keisuke Honda|कैसुके होंडा
Thomas Cassin Kinkaid|थॉमस सी. किंकेड
Igor Akinfeev|इगोर अकिंफीव
Zine El Abidine Ben Ali|झिने एल अबिदिन बेन अली
Pavel Pogrebnyak|पावेल पोग्रेबन्याक
Andrew Britton|अँड्रु ब्रिटोन
John L. Hall|जॉन एल. हॉल
Chandrika Kumaratunga|चंद्रिका कुमारतुंगा
Amir Khosrow|अमीर खुस्रो
Xabi Alonso|शावी अलोन्सो
Tansu Çiller|तान्सु सिलर
Michael Bradley|मायकेल ब्रॅडली
Martín Palermo|मार्टिन पालेर्मो
Michel Vorm|मिकेल वोर्म
Fats Domino|फॅट्स डॉमिनो
Jean-Bertrand Aristide|ज्याँ-बर्ट्रांड अरिस्टिड
Peter Leko|पीटर लेको
Alessandro Diamanti|अलेसांद्रो दिमंती
Ray Liotta|रे लियोटा
Zoran Tošić|झोरान तोशिच
S. R. Nathan|सेल्लप्पन रामनाथन
P. W. Botha|पीटर विलेम बोथा
Hariprasad Chaurasia|हरिप्रसाद चौरसिया
David Suazo|डेविड सुआझो
Mark González|मार्क गोंझालेझ
Jan Christiaan Smuts|यान क्रिस्चियान स्मट्स
Ayaan Hirsi Ali|अयान हिरसी अली
Guillermo Ochoa|ग्वियेर्मो ओचोआ
Sven-Göran Eriksson|स्वेन-गोरान एरिक्सन
Zviad Gamsakhurdia|झ्वियाद गामसाखुर्दिया
George Canning|जॉर्ज कॅनिंग
Michael Krohn-Dehli|मायकल क्रॉन-देह्ली
Tim Henman|टिम हेन्मन
Doni|डोनीएबर अलेक्झांडर मरांगोन
Victor III|पोप व्हिक्टर तिसरा
Johann Bernoulli|योहान बर्नोली
Leo IV|पोप लिओ चौथा
Peng Shuai|श्वाई पेंग
Dorothy Dandridge|डोरोथी डॅन्ड्रिज
Simona Halep|सिमोना हालेप
Astrid of Sweden|अॅस्ट्रीड
Carla Suárez Navarro|कार्ला सुआरेझ नव्हारो
Vera Dushevina|व्हेरा दूशेव्हिना
Fernando Henrique Cardoso|फर्नान्डो हेनरिके कार्दोसो
Bhimrao Ramji Ambedkar|बाबासाहेब आंबेडकर
Mumtaz Mahal|मुमताज महल
Alona Bondarenko|अलोना बाँडारेन्को
Robert Burns Woodward|रॉबर्ट बर्न्स वूडवार्ड
Laurel Clark|लॉरेल क्लार्क
Janette Husárová|जॅनेट हुसारोवा
Madhuri Dixit|माधुरी दीक्षित
Jarmila Wolfe|यार्मिला गाय्दोसोव्हा
Nathalie Tauziat|नताली तौझियात
Father Damien|फादर डेमियन
Teagan Presley|टीगन प्रेस्ले
Atal Bihari Vajpayee|अटलबिहारी वाजपेयी
Elena Bovina|एलेना बोव्हिना
Luis Federico Leloir|लुइस फेदेरिको लेलवा
Calpurnia|कॅलपर्निआ पीझोनीस
Juliano Belletti|हुलियानो बेलेटी
Boris Trajkovski|बोरिस त्रायकोव्स्की
William Cavendish, 4th Duke of Devonshire|विल्यम कॅव्हेन्डिश, डेव्हॉनशायरचा चौथा ड्यूक
Mark Viduka|मार्क विदुका
Nikita Rukavytsya|निकिता रूकावित्स्या
Ankan|अंकन
Alexis Amore|अलेक्सिस अमोअर
Nâdiya|नाडिया
Guity Novin|ग्विटी नोविन
Miguel Beloso|मिगेल वेलोसो
Lal Bahadur Shastri|लालबहादूर शास्त्री
Marin Čilić|मरिन सिलिक
Ravi Sethi|रवी सेठी
Hina Rabbani Khar|हिना रब्बानी खर
Alicja Rosolska|अॅलिस्या रोसोल्स्का
Darya Kustova|दार्या कुस्तोवा
Vitalia Diatchenko|व्हितालिया दियात्चेन्को
Olivia O'Lovely|ओलिव्हिया ओ'लव्हली
Jamaluddin Ahmed|जमालुद्दीन अहमद
Akiko Morigami|अकिको मोरिगामी
Arthur Wood|आर्थर वूड
Kasturba Gandhi|कस्तुरबा गांधी
Tirumalai Krishnamacharya|तिरुमलई कृष्णमाचार्य
Spencer Compton, 1st Earl of Wilmington|स्पेन्सर कॉम्प्टन
Norman Rockwell|नॉर्मन रॉकवेल
Denise Levertov|डेनिस लेव्हेर्तोव्ह
Noname Jane|नोनेम जेन
Antonio Meucci|आंतोनियो मेउच्ची
Steve Sidwell|स्टीव सिड्वेल
Duncan Edwards|डंकन एडवर्ड्स
Tal Ben Haim|ताल बेन हैं
Javier Pastore|हावियेर पास्तोरे
Thomas Johansson|थॉमस योहान्सन
Urvashi|उर्वशी
Prakash Karat|प्रकाश कारत
Charaka|चरक
Yuto Nagatomo|युतो नागातोमो
Dharamvir Bharati|धर्मवीर भारती
Adrenalynn|एड्रियाना लाय्न
Gaurishankar Udayshankar|गौरीशंकर उदयशंकर ओझा
Vesna Dolonc|व्हेस्ना मनासियेव्हा
Malaika Arora|मलाइका अरोडा खान
B. Nagi Reddy|बोम्मीरेड्डी नागी रेड्डी
Ólafur Thors|ओलाफुर थॉर्स
Óscar Pérez|ऑस्कर पेरेझ रोहास
Dirk Kuyt|डर्क कुइट
Rui Patrício|रूइ पॅट्रीसियो
Chris Eagles|क्रिस ईगल्स
Ashikaga Takauji|अशिकागा तकाउजी
Lee Strasberg|ली स्ट्रासबर्ग
Gökhan İnler|गोखन इनलेर
Daniel Nestor|डॅनियेल नेस्टर
