Richard Branson|ਰਿਚਰਡ ਬ੍ਰੈਨਸਨ
Ahmad Zahir|ਅਹਿਮਦ ਜ਼ਾਹਿਰ
Angus Deaton|ਏਂਗਸ ਡੀਟਨ
L. Frank Baum|ਐੱਲ ਫਰੈਂਕ ਬੌਮ
Amir Khosrow|ਅਮੀਰ ਖੁਸਰੋ
Yuan Shikai|ਯੂਆਨ ਸ਼ਿਕਾਈ
Hariprasad Chaurasia|ਹਰੀ ਪ੍ਰਸਾਦ ਚੌਰਸੀਆ
Natasha Richardson|ਨਤਾਸ਼ਾ ਰਿਚਰਡਸਨ
Steve Biko|ਸਟੇਵ ਬੀਕੋ
Ayaan Hirsi Ali|ਅਯਾਨ ਹਿਰਸੀ ਅਲੀ
Alejo Carpentier|ਆਲੇਖ਼ੋ ਕਾਰਪੈਂਤੀਅਰ
Josh Hutcherson|ਜੋਸ਼ ਹਚਰਸਨ
Grant Wood|ਗਰਾਂਟ ਵੁੱਡ
Simon Kinberg|ਸਾਈਮਨ ਕਿਨਬਰਗ
Simone Martini|ਸੀਮੋਨ ਮਾਰਟੀਨੀ
Mia Hamm|ਮੀਆ ਹੈਮ
John Blankenstein|ਜੌਹਨ ਬਲੈਂਕਨਸਟੀਨ
Svetlana Alliluyeva|ਸਵੇਤਲਾਨਾ ਅਲਿਲੁਯੇਵਾ
Ruth Benedict|ਰੁਥ ਬੈਨੇਡਿਕਟ
Barbara Hershey|ਬਾਰਬਰਾ ਹਰਸ਼ੇ
Trish Stratus|ਟ੍ਰਿਸ਼ ਸਟ੍ਰੈਟਸ
Simona Halep|ਸਿਮੋਨਾ ਹਾਲੇਪ
Bonnie Blair|ਬੋਨੀ ਬਲੇਅਰ
Bhimrao Ramji Ambedkar|ਭੀਮ ਰਾਓ ਅੰਬੇਦਕਰ
Mumtaz Mahal|ਮੁਮਤਾਜ਼ ਮਹਲ
Julieta Venegas|ਜੂਲੀਏਟਾ ਵੈਨੇਜਸ
Madhuri Dixit|ਮਾਧੁਰੀ ਦੀਕਸ਼ਿਤ
Enheduanna|ਐਨਹਦੂਆਨਾ
Suzanne Lenglen|ਸੁਜ਼ਾਨ ਲਾਂਗਲੇਨ
Teagan Presley|ਟੀਗਨ ਪ੍ਰੇਸਲੀ
Atal Bihari Vajpayee|ਅਟਲ ਬਿਹਾਰੀ ਬਾਜਪਾਈ
Angela Carter|ਐਂਜੇਲਾ ਕਾਰਟਰ
Emilia Clarke|ਅਮੀਲੀਆ ਕਲਾਰਕ
Gala|ਗਲਾ
H. Rider Haggard|ਐੱਚ. ਰਾਈਡਰ ਹੈਗਾਰਡ
Shirley Jackson|ਸ਼ਰਲੀ ਜੈਕਸਨ
Sophie Jonas|ਸੋਫੀ ਟਰਨਰ
Nasrin Sotoudeh|ਨਸਰੀਨ ਸਤੂਦੇਹ
A. J. Ayer|ਐਲਫਰਡ ਜੂਲਸ ਏਅਰ
Lal Bahadur Shastri|ਲਾਲ ਬਹਾਦੁਰ ਸ਼ਾਸਤਰੀ
Cynthia Lennon|ਸਿੰਥੀਆ ਲੈਨਨ
Hina Rabbani Khar|ਹਿਨਾ ਰਬਾਨੀ ਖਰ
Anna Sewell|ਅੰਨਾ ਸੀਵੈਲ
Teodor Oizerman|ਟੀਓਡੋਰ ਓਇਜ਼ਰਮਨ
Choudhry Rahmat Ali|ਚੌਧਰੀ ਰਹਿਮਤ ਅਲੀ
Chhotu Ram|ਛੋਟੂ ਰਾਮ
Kasturba Gandhi|ਕਸਤੂਰਬਾ ਗਾਂਧੀ
Szymon Niemiec|ਸਾਇਮਨ ਨਿਏਮੀਏਸ
Giacomo Matteotti|ਜਿਆਕੋਮੋ ਮਾਤਿਓਤੀ
Elif Şafak|ਐਲਫ਼ ਸ਼ਫ਼ਕ
Clara Rockmore|ਕਲਾਰਾ ਰੌਕਮੋਰ
Penelope Delta|ਪੇਨੇਲੋਪੀ ਦੈਲਤਾ
Paul Robeson|ਪਾਲ ਰਾਬਸਨ
Paul Rudd|ਪੌਲ ਰੁਡ
Prakash Karat|ਪ੍ਰਕਾਸ਼ ਕਰਤ
Charaka|ਚਾਰਕ
Dharamvir Bharati|ਧਰਮਵੀਰ ਭਾਰਤੀ
Mahbub ul Haq|ਮਹਿਬੂਬ ਉਲ ਹੱਕ
Kimberly Kane|ਕਿਮਬਰਲੀ ਕੇਨ
