Louis Néel|لیوس نیل
Eugene Wigner|یوجین پاول وگنر
Russell Alan Hulse|رسل الن ہلز
Taishō|شہنشاہ تايشو
Merton Miller|مرٹن ملر
Heydar Aliyev|حیدر علیوف
Merneptah|منفتاح بن رمسیس ثانی
Kirron Kher|کرن کھیر
Aruna Irani|ارونا ایرانی
Manoj Bajpai|منوج باجپائی
Hipparchus|ابرخس
Murad III|مراد سوم
Al-Farabi|فارابی
Edward Gibbon|ایڈورڈ گبن
Khufu|خوفو
Lady Jane Grey|لیڈی جین گرے
Tony Curtis Liz|ٹونی کرٹس
William Shockley|ولیم شوکلی
Ava Gardner|ایوا گارڈنر
Louis VIII of France|لوئی ہشتم شاہ فرانس
Iajuddin Ahmed|عیاض الدین احمد
Mary Carey|میری کیری (فحش اداکارہ)
Protagoras|پروتاگورس
Carl David Anderson|کارل ڈیوڈ انڈریسن
Ja'far al-Sadiq|جعفر الصادق
Henry James|ہنری جیمز
Omar Sharif|عمر شریف
T. E. Lawrence|تھامس لارنس
Ivan III of Russia|ایوان سوم
Bāṇabhaṭṭa|بان بھٹ
Ötzi|اوٹزی
Manija Dawlat|منیزہ دولت
Omar Bongo|عمر بونگو
Chaim Weizmann|کھائیم ویزمان
Samuel L. Jackson|سیموئل ایل جیکسن
Veselin Topalov|ویزلین ٹوپالوف
Pyotr Kapitsa|پیوٹر لیونڈیوچ کیپٹسہ
Jean Tirole|جین ترولی
Katie Holmes|کیٹی ہومز
Abdülmecid I|عبد المجید اول
Teresa of Ávila|مقدسہ ٹریسا
Tertullian|طرطلیان
Olive Borden|اولیو بورڈین
Mikhail Botvinnik|میخائیل بوت وین نک
Atahualpa|آتاوالپا
Harold Urey|ہارلڈ اری
Aristide Briand|ارسٹائڈ بریانڈ
Lewis Black|لیوس بلیک
Janet Gaynor|جینٹ گینور
Shirley Temple|شرلی ٹیمپل
Ramakrishna|رام کرشن
Edward Mills Purcell|ایڈوارڑملس پرسل
Fred Hoyle|فریڈ ہوئل
Ilya Prigogine|الیا پرگوگین
Walter Houser Brattain|والٹر ہوایسن براطین
Jostein Gaarder|جوسٹین گارڈر
Alexis Carrel|الیکسس کارل
Jerome Isaac Friedman|جیروم آئیزک فرائڈ مین
Frits Zernike|فرٹز زرنیک
Preity Zinta|پریتی زنتا
Gloria Stuart|گلوریا اسٹیورٹ
Aristippus|ارسطیفوس
Narmer|نارمر
Randal Cremer|رینڈل کریمر
Ayub Khan|ایوب خان
Fredrik Bajer|فریڈرک باجر
Gary Becker|گارے بکر
Germanicus|جرمانیکس
Peter Ware Higgs|پیٹر ہگس
David Trimble|ڈیوڈ ٹرمبل
Ilya Frank|الوا فرانک
Kai Siegbahn|کائی سیگ بہن
Rafic Hariri|رفیق حریری
Edward the Martyr|ایڈورڈ شہید
Jean-François Lyotard|لیوتار
Kenneth G. Wilson|کنتھ گیڈس ولسن
Cato the Younger|کاتو اصغر
Carlos Saavedra Lamas|کارلوس ساویدرا لاماس
Mohammed V|محمد خامس
Richard Branson|رچرڈ برینسن
Ahmed III|احمد ثالث
السلطان مراد الخامس|مراد خامس
Jennifer Morrison|جینیفر موریسن
Roger Y. Tsien|راجر ٹسین
Kassym-Jomart Tokayev|قاسم جومارت توقایف
Archytas|آرکیٹاس
Shelley Winters|شیلے ونٹرس
Angus Deaton|انگس ڈیٹن
Zindzi Mandela|زندزی منڈیلا
Zine El Abidine Ben Ali|زین العابدین بن علی
John L. Hall|جان ایل ہال
Amir Khosrow|امیر خسرو
Tansu Çiller|تانسو چیلر
Yuan Shikai|یوان شیکائی
Jules Bordet|جیولس بورڈٹ
Richard Axel|رچرڈ اکزل
Glenn Ford|گلین فورڈ
P. W. Botha|پی ڈبلیو بوتھا
Natasha Richardson|نتاشا رچرڈسن
Stephen Colbert|اسٹیون کولبیر
Albert John Mvumbi Luthuli|ایلبرٹ لوٹولی
Blackbeard|سیاہ ریش
Alejo Carpentier|الیجو کارپیٹیر
Jaber al-Ahmad al-Sabah|جابر احمد الصباح
Nicholas Sparks|نکولس اسپارکس
George Emil Palade|جارج ایمل پلاڈے
Luis de Góngora|لوئیس ڈی گونگورا
Elbridge Gerry|ایلبریج گیری
Rachel Bilson|ریچل بیلسن
Armand Traoré|آرمنڈ ترورے
Johann Bernoulli|جون برنولی
Ashley Judd|ایشلے جڈ
Zulfiqar Mirza|ذوالفقار مرزا
Christine Baranski|کرسٹین بارانسکی
Viola Davis|وائلا ڈیوس
Patricia Clarkson|پیٹریشیا کلارکسن
Elizabeth Mitchell|الزبتھ مچل
Laura Branigan|لورا برینیگین
Rita Moreno|ریٹا مورینو
Julie Benz|جولی بینز
Edward Adelbert Doisy|ایدوارڈ اڈلبرٹڈویسی
China Anne McClain|چائنہ اینی مکلین
Merle Oberon|مرلے اوبیرون
Odette Annable|اوڈیٹ انابیل
Charisma Carpenter|کرزما کارپینٹر
Jenna Haze|جینا ہیز
Bhimrao Ramji Ambedkar|بھیم راؤ رام جی امبیڈکر
Mumtaz Mahal|ممتاز محل
Emily Procter|ایملی پروکٹر
Kerry Washington|کیری واشنگٹن
Piper Laurie|پائپر لاری
Stanley Cohen|سٹینلی کوہ
Mae Whitman|مئے وٹمین
Robert Burns Woodward|رابرٹ برن ودورڈ
Madhuri Dixit|مادھوری دیکشت
Enheduanna|این ہیدوانا
Ruth Gordon|روتھ گورڈن
Suzanne Lenglen|سوزان لونگلین
Kathryn Morris|کیتھرین مورس
Gina Carano|جینا کارانو
Christine Taylor|کرسٹین ٹیلر
Arne Tiselius|ارنی ٹیسیلس
Teagan Presley|ٹیگان پریسلی
Atal Bihari Vajpayee|اٹل بہاری واجپائی
Tila Tequila|ٹیلا ٹوکیلا
Nikki Cox|نکی کاکس
Luis Federico Leloir|گرہارڈہرز برگ
Madeline Kahn|میڈلین خان
Anna Chlumsky|اینا کلومسکی
Melinda Clarke|میلنڈا کلارک
